,title,location,campany_category,posted,job_type
0,"New
Senior Python Developer
		    MSD
                
Prague, Czechia","Prague, Czechia",Developer / Engineer,Posted: 09 September 2022,"Back end, Cloud, Integration, Lead, Operations, Systems, SQL, Bash, DevOps and more"
1,"New
Staff Python Backend Engineer
		    Reef Technologies
                
Warsaw (fully remote), Poland","Warsaw (fully remote), Poland",Developer / Engineer,Posted: 09 September 2022,Back end
2,"New
Software Engineer
		    Utah State University
                
Logan, Utah, USA","Logan, Utah, USA",Developer / Engineer,Posted: 08 September 2022,"Back end, Cloud, Database, Integration, Web"
3,"New
Senior Python Engineer, remote, Europe/US (x/f/m)
		    Transporeon
                
Remote, US, Germany, Poland, USA, France, Italy, Spain, Netherlands, UK, Austria, Denmark, Sweden,  ...","Remote, US, Germany, Poland, USA, France, Italy, Spain, Netherlands, UK, Austria, Denmark, Sweden,  ...",Developer / Engineer,Posted: 08 September 2022,"Back end, Cloud, Database, Integration, Lead, Systems, Testing, Web"
4,"New
Lead SRE Engineer
		    Livepeer
                
Brooklyn, US","Brooklyn, US",Developer / Engineer,Posted: 07 September 2022,"Lead, Systems, PowerShell, Python, Golang"
5,"New
Lead Software Engineer
		    GlobalLogic UK&I
                
London, UK","London, UK",Developer / Engineer,Posted: 07 September 2022,"Cloud, Python, AWS, API"
6,"New
Senior Python Developer (Remote)
		    nineDots
                
Dublin, Ireland","Dublin, Ireland",Developer / Engineer,Posted: 06 September 2022,"Back end, Big Data, Cloud, Systems, Python, AWS, Networking, Golang"
7,"New
Machine Learning Engineer
		    Shift5
                
remote, USA","remote, USA",Researcher / Scientist,Posted: 05 September 2022,"Big Data, Machine Learning"
8,"New
AI Consultant (f/m/d)
		    1&1 AG
                
Karlsruhe, Germany","Karlsruhe, Germany",Developer / Engineer,Posted: 05 September 2022,Machine Learning
9,"New
Cloud Automation Engineer (f/m/d)
		    IONOS SE
                
Berlin, Germany","Berlin, Germany",Developer / Engineer,Posted: 05 September 2022,"Cloud, Systems"
10,"New
Backend Software Engineer
		    Kintsugi
                
Remote, USA","Remote, USA",Developer / Engineer,Posted: 02 September 2022,"Back end, PostgreSQL, Python, FastAPI, Flask, PyTorch, GitLab"
11,"New
Quality Assurance Lead Engineer â€“ Flight Software
		    E-Space
                
Los Gatos, CA, United States","Los Gatos, CA, United States",Developer / Engineer,Posted: 01 September 2022,"Integration, Lead, Testing"
12,"New
Python Developer
		    Customertimes
                
Brazil, Latinoamerica, Brazil","Brazil, Latinoamerica, Brazil",Developer / Engineer,Posted: 01 September 2022,"Back end, Cloud, Integration, Web, PostgreSQL, Flask"
13,"New
Software Developer (f/m/d)
		    1&1 Mail & Media Applications SE
                
Karlsruhe, Germany","Karlsruhe, Germany",Developer / Engineer,Posted: 01 September 2022,"Big Data, Cloud, Database, Machine Learning, Web, Kubernetes, S3, Spark"
14,"New
Senior Software Engineer (Python)
		    Zuar, Inc.
                
Austin, TX, USA","Austin, TX, USA",Developer / Engineer,Posted: 01 September 2022,"Back end, Database, Integration, Lead, Systems, Testing, Web"
15,"New
PLOTLY DASH DEVELOPER
		    Revenue.AI
                
Remote, Europe, Europe","Remote, Europe, Europe",Developer / Engineer,Posted: 01 September 2022,"Back end, Image Processing, Integration"
16,"New
SENIOR PYTHON DEVELOPER
		    Revenue.AI
                
Remote, Europe, Europe","Remote, Europe, Europe",Developer / Engineer,Posted: 01 September 2022,"Back end, Image Processing, Integration, Machine Learning"
17,"New
Principal Engineering - Data & AI/ML
		    UKG (Ultimate Kronos Group)
                
Lowell, Massachusetts, United States","Lowell, Massachusetts, United States",Developer / Engineer,Posted: 31 August 2022,"Big Data, Cloud, Machine Learning"
18,"New
Backend Developer
		    Be Zen
                
Remote, Remote, India","Remote, Remote, India",Developer / Engineer,Posted: 30 August 2022,Back end
19,"New
AI Consultant (m/w/d)
		    1&1 AG
                
Karlsruhe, Germany","Karlsruhe, Germany",Developer / Engineer,Posted: 30 August 2022,Machine Learning
20,"New
Cloud Automation Engineer (f/m/d)
		    IONOS SE
                
Berlin, Germany","Berlin, Germany",Developer / Engineer,Posted: 30 August 2022,"Cloud, Systems"
21,"New
Full Stack Python Developer (part-time)
		    Fourth Estate
                
Washington, District of Columbia, United States","Washington, District of Columbia, United States",Developer / Engineer,Posted: 28 August 2022,"Back end, Front end, Lead, Flask, Pyton-Eve, MongoDB, AngularJS, React, Celery, RabbitMQ, Github, Nginx, Docker"
22,"New
Senior Python Programmer
		    The University of Texas at Austin
                
Austin, Texas, USA","Austin, Texas, USA",Developer / Engineer,Posted: 26 August 2022,"Integration, Lead, Management, Systems, Testing, Text Processing, Web"
23,"New
Web Developer
		    SideFX
                
Toronto, Ontario, Canada","Toronto, Ontario, Canada",Developer / Engineer,Posted: 26 August 2022,"Back end, Front end"
24,"New
Python  Developer (Django)
		    Tech Opportunity
                
Andheri East. Mumbai, Maharashtra, India","Andheri East. Mumbai, Maharashtra, India",Developer / Engineer,Posted: 26 August 2022,"Back end, Python, Django"
